,end_time,key,sound,start_time,reaction_time
0,4.5049255000194535,l,sounds\LF\gevels.wav,3.01696720009204,1.4879582999274135
1,7.910865899990313,l,sounds\HF\had.wav,7.522133800084703,0.3887320999056101
2,11.571574100060388,l,sounds\HF\begin.wav,10.928948600078002,0.6426254999823868
3,14.994690800085664,l,sounds\none\glaf.wav,14.58971259999089,0.40497820009477437
4,19.434107800014317,a,sounds\LF\beitels.wav,18.015730099985376,1.418377700028941
5,22.852085300022736,a,sounds\none\nef.wav,22.450781000079587,0.4013042999431491
6,26.138856600038707,a,sounds\LF\juffen.wav,25.89904980000574,0.23980680003296584
7,29.218055400066078,l,sounds\LF\schuiten.wav,29.157319199992344,0.060736200073733926
8,32.31559000001289,a,sounds\HF\ogen.wav,32.23560210003052,0.07998789998237044
9,35.73062490008306,a,sounds\HF\kom.wav,35.33065450005233,0.3999704000307247
10,38.80693060008343,a,sounds\none\zuun.wav,38.74680600001011,0.060124600073322654
11,41.90931630006526,a,sounds\LF\ratels.wav,41.82481220003683,0.08450410002842546
12,45.52133090002462,a,sounds\LF\karpers.wav,44.927743500098586,0.5935873999260366
13,49.751889800070785,l,sounds\none\vlorken.wav,48.538670300040394,1.213219500030391
14,53.58951530000195,a,sounds\LF\sikkels.wav,52.77081640006509,0.8186988999368623
15,56.752228400087915,a,sounds\LF\margriet.wav,56.60482280002907,0.14740560005884618
16,61.4883563000476,a,sounds\HF\vraag.wav,59.76941190008074,1.7189443999668583
17,65.21944590006024,a,sounds\none\geslonden.wav,64.50710080005229,0.7123451000079513
18,69.84782840008847,a,sounds\none\plin.wav,68.23676360002719,1.6110648000612855
19,73.41662360006012,a,sounds\LF\clusters.wav,72.86626650008839,0.550357099971734
20,76.54792050004471,a,sounds\HF\heren.wav,76.4361862000078,0.11173430003691465
21,82.61070220009424,a,sounds\HF\wakker.wav,79.56371590006165,3.046986300032586
22,86.00004030007403,a,sounds\none\gevupt.wav,85.62720320001245,0.372837100061588
23,89.30702459998429,l,sounds\none\herken.wav,89.01627060002647,0.2907539999578148
24,92.81715100002475,a,sounds\LF\polders.wav,92.32535340008326,0.4917975999414921
25,96.5091804000549,a,sounds\LF\barse.wav,95.83555210009217,0.6736282999627292
26,99.7110577999847,a,sounds\HF\gemaakt.wav,99.52726160001475,0.18379619996994734
27,102.83154789998662,a,sounds\HF\bezig.wav,102.72732010006439,0.10422779992222786
28,108.18693369999528,a,sounds\none\giep.wav,105.84907530003693,2.3378583999583498
29,111.35899139998946,a,sounds\HF\plaats.wav,111.20493680005893,0.15405459993053228
30,114.411942500039,a,sounds\none\kwarp.wav,114.37663499999326,0.035307500045746565
31,118.79394410003442,l,sounds\none\vlump.wav,117.42971709999256,1.3642270000418648
32,122.7395269999979,a,sounds\none\entel.wav,121.8107090999838,0.9288179000141099
33,125.97326210001484,a,sounds\none\kabrieken.wav,125.75792230002116,0.21533979999367148
34,129.05869660002645,a,sounds\none\vrijk.wav,128.9897273000097,0.06896930001676083
35,132.3222686999943,a,sounds\LF\gonsde.wav,132.07763479999267,0.2446339000016451
36,135.54530980007257,l,sounds\HF\help.wav,135.33899690001272,0.20631290005985647
37,140.41108190000523,a,sounds\HF\moeder.wav,138.56176770001184,1.8493141999933869
38,143.72617270005867,a,sounds\LF\imams.wav,143.42913450009655,0.2970381999621168
39,147.45511139999144,a,sounds\none\pruit.wav,146.74461960000917,0.7104917999822646
40,150.74391800002195,a,sounds\HF\uur.wav,150.4754152999958,0.26850270002614707
41,156.50791180005763,a,sounds\none\kuukt.wav,153.76096400001552,2.7469478000421077
42,163.92191710008774,,sounds\none\gefruld.wav,159.60944560007192,4.312471500015818
43,171.2625904000597,,sounds\none\slont.wav,166.94505280000158,4.317537600058131
44,178.5969642000273,,sounds\HF\zag.wav,174.28385690005962,4.313107299967669
45,185.92644280008972,,sounds\none\snarpen.wav,181.61489790002815,4.311544900061563
46,193.2604000000283,,sounds\LF\venkel.wav,188.94120350002777,4.319196500000544
47,200.58907390001696,,sounds\LF\wrongel.wav,196.27709750004578,4.311976399971172
48,207.92288410000037,,sounds\none\bluit.wav,203.61073790001683,4.312146199983545
49,213.7863477000501,a,sounds\none\rogenten.wav,210.9396524000913,2.84669529995881
50,217.49906000006013,a,sounds\HF\plan.wav,216.8038785000099,0.6951815000502393
51,221.5744420000119,l,sounds\HF\hele.wav,220.52061360003427,1.0538283999776468
52,225.0134921000572,a,sounds\none\ploe.wav,224.5908212000504,0.42267090000677854
53,228.12065639998764,l,sounds\LF\spurt.wav,228.0318287999835,0.08882760000415146
54,231.16384779999498,a,sounds\LF\porde.wav,231.13598870008718,0.027859099907800555
55,234.2467248000903,a,sounds\LF\stekken.wav,234.18072070006747,0.06600410002283752
56,238.56608380004764,a,sounds\none\vebras.wav,237.26442410005257,1.3016596999950707
57,241.59966920001898,l,sounds\none\grede.wav,241.58370270009618,0.015966499922797084
58,244.70178100001067,a,sounds\HF\krijg.wav,244.6157842000248,0.08599679998587817
59,248.10245760006364,a,sounds\LF\lanen.wav,247.71929879998788,0.383158800075762
60,251.44625320006162,a,sounds\LF\reigers.wav,251.11825689999387,0.3279963000677526
61,254.63334330008365,a,sounds\HF\baby.wav,254.4628570000641,0.17048630001954734
62,259.42965170007665,l,sounds\LF\puien.wav,257.65285100007895,1.7768006999976933
63,262.50323500006925,a,sounds\HF\wachten.wav,262.4468639000552,0.05637110001407564
64,266.82538580009714,a,sounds\LF\rogge.wav,265.52292330004275,1.3024625000543892
